Item ID,Name,Last Name,Slug,Portrait,Biography,Nationality,Specialties
"68e12f9e8eb4306e8320b18f","neyuQ ceramics","ceramics","neyuq-ceramics-quyen-mac","Ihre Keramiken sind reduziert und klar in der Formgebung, dezent und zurückhaltend auch in den Farben, modern und zeitlos zugleich. Bevor die ausgebildete Pianistin Quyen Mac diese Handwerkskunst autodidaktisch erlernte, studierte sie Musik in verschiedenen Ländern Amerikas. Das Anfertigen funktionaler Keramik war eine bewusste Entscheidung, das Leben und Erleben im Alltag ästhetisch zu bereichern. Jedes ihrer harmonischen Gefäße, jede Schale, jeder Teller und jede Vase, geht damit über ein reines Anschauungsobjekt hinaus. Ruhe und Intention ergibt sich aus Wiederholung, dabei verschwinden wie in der Musik Dissonanzen. Das Gesamtwerk von Quyen Mac weist eine Harmonie auf, die wir als universell gültig empfinden.","Geboren in Wiesbaden Auslandsaufenthalt und Musikstudium in den USA, Argentinien und Kanada Intensive Beschäftigung mit Keramik Eröffnung des Keramikstudios lebt und arbeitet in Heidelberg","",""
"68e12f9e8eb4306e8320b18d","Yasuhisa Kohyama","Kohyama","yasuhisa-kohyama","","","Japan",""
"68e12f9e8eb4306e8320b18b","Warwick Freeman","Freeman","warwick-freeman","","","",""
"68e12f9e8eb4306e8320b185","Ute Kathrin Beck","Beck","ute-kathrin-beck","Ihre einfallsreichen Keramikgefäße beeindrucken durch die Geschlossenheit und kraftvolle Ausstrahlung von Form und plastischem Ornament. Ute Kathrin Beck nimmt sich die Freiheit, Skulpturen zu schaffen, die das Gefäß noch zitieren, aber durch ihre Körperlichkeit und Bildhaftigkeit vielfältige Assoziationen hervorrufen. So erinnern die Dreifüßler, für die sie 2012 den baden-württembergischen Staatspreis erhielt, an urzeitliche Meeresbewohner, während sie sich mit ihrer Serie „Glanz und Glimmer“ auf eine barocke Prachtentfaltung bezieht. Ganz offenbar reizt die Keramikerin das Spiel mit Form- und Bild-Zitaten, die Zwiesprache zwischen Innen und Außen. Gebrauchsgefäße werden für Ute Kathrin Beck zum Kultgegenstand, zum künstlerischen Objekt, erinnern an archaische Mythen und sind gleichzeitig aktuelle Kunstobjekte. Immer sind sie Ausdruck einer Position, die inspiriert und irritiert.","Geboren in Stuttgart Abschluss Keramikgestaltung, Meisterprüfung als Baukeramikerin, Studienaustausch in England Studium Innenarchitektur, FH Rosenheim Eigene Werkstatt Staatspreis des Landes Baden-Württemberg und Preis der Stadt Ulm","",""
"68e12f9e8eb4306e8320b17f","Ulrike Scriba","Scriba","ulrike-scriba","Als Hüterin einer alten Kunst fertigt Ulrike Scriba Intarsien von schlichter und klarer Schönheit. Auch wenn diese Arbeiten heute oft von Maschinen produziert und als Massenware verkitscht werden, hält Scriba dagegen. In aufwändiger Handarbeit wird das Holz geschnitten und gefühlvoll zusammengesetzt. Die zweidimensionale Oberfläche erscheint lebendig, fast wie ein Relief. Ulrike Scriba nutzt die natürliche Optik der Maserung, des Farbenspiels und erzielt besondere Effekte durch gegenläufige Anordnungen. Ihre Objekte nehmen den Geist des Art Deco auf und machen ihn für unsere Zeit erlebbar. Verschiedene öffentliche Sammlungen haben die Arbeit von Ulrike Scriba durch Ankäufe gewürdigt. Seit rund 20 Jahren fertigt Ulrike Scriba auch regelmäßig Silberschmiedearbeiten und hat dabei ein bemerkenswerte Meisterschaft erreicht. Sie erhielt 1994 den Hessischen Staatspreis und den Staatspreis des Landes Baden-Württemberg. Im Jahre 2006 folgte der Hanns-Model-Gedächtnispreis. Ulrike Scriba ist regelmäßig auf Ausstellungen und Messen präsent. Preise zwischen 70 und 3.600 Euro.","Geboren in Worms Bildhauerei, Werkkunstschule Darmstadt Restaurierung der Würzburger Residenz Eigene Werkstatt, Gengenbach-Bermersbach","",""
"68e12f9e8eb4306e8320b179","Ulrike Ramin","Ramin","ulrike-ramin","Kopenhagen passt, sagt Ulrike Ramin zu der Stadt, in der sie arbeitet und lebt. Die klaren Linien des dänischen Designs finden sich in ihren Schmuckstücken. Doch auch Bezüge zu Japan sind vorhanden in Formen, die auf wohltuende Weise imperfekt sind – weil zum Beispiel Perle und Draht des Rings graceful nicht vollständig rund sind. „Das Auge sieht Lebendigkeit und Natürlichkeit, wo man sie nicht vermuten würde“, erklärt Ulrike Ramin. Sie lässt sich vom Prozess leiten, geht in Dialog mit dem Material, beobachtet, spielt und lässt los. „Das Schönste an meiner Arbeit ist es, Schmuck zu erschaffen, der zu den Menschen kommt und dort seine Wirkung entfaltet.“","geboren in Duisburg Ausbildung zur Goldschmiedin an der Staatlichen Zeichenakademie Hanau Arbeit als Goldschmiedin in Spanien, Island und Dänemark selbständig als Mitglied der Laden- und Werkstattgemeinschaft Formverk in Kopenhagen, DK Kunsthandwerkerpreis von 1879, Bronze Medaille, Kopenhagen, Dänemark","",""
"68e12f9e8eb4306e8320b173","Ulrike Poelk","Poelk","ulrike-poelk","Mit überraschend spielerischen und innovativen Ideen bricht Ulrike Poelk konventionelle Gewohnheiten im Schmuck auf. So kann die Kette attraente – italienisch für anziehend – in vielen Variationen am Hals oder auch am Arm getragen werden. Beim Spiel mit der Kette entstehen durch unsichtbar eingebaute Magnete scheinbar kleine oder größere Knotenpunkte. Diese vermeintlichen Störungen sind spielerische Gestaltungselemente, die durch einfaches Ziehen wieder aufgelöst werden. Dies gilt in ähnlicher Weise auch für den Halsschmuck attraente grande und die Kollektion globolous. Ihre Kollektion chainge fertigt Ulrike Poelk mit verschiedenen Edelsteinen oder Perlen. Und auch diese Kette überzeugt mit unterschiedlichen Tragevarianten. Dank integrierter Magnete und einer Rückplatte kann chainge sogar als Brosche getragen werden.","Geboren in Filderstadt Goldschmiedelehre Fachhochschule Düsseldorf, Schmuck- und Produktdesign Selbstständig als Diplomdesignerin in Berlin","",""
"68e12f9e8eb4306e8320b16d","Ulla & Martin Kaufmann","Kaufmann","ulla-martin-kaufmann","Die frühen Arbeiten von Ulla & Martin Kaufmann zeigen abstrahierte, blütenartige Formen mit kraftvoll inszenierten Farbedelsteinen. Die Besteckserie Palladio von 1986 und Passione, 1997, für Wilkens sind Musterbeispiele für die klassische Moderne und das deutsche Design nach 1945. Die Schmucklinien und Objekte des letzten Jahrzehnts sind geprägt durch die Faszination für Gold und die Auseinandersetzung mit den Bildhauern Richard Serra, Donald Judd und Eduardo Chillida. Durch intensives Schmieden flexibel und anschmiegsam gewordene Hals- und Armreifen verbinden eine hohe Sinnlichkeit mit strenger Reduktion. Mit zahlreichen Preisen und Museumsankäufen gewürdigt, zählen Ulla und Martin Kaufmann zu den wichtigsten Gold- und Silberschmieden unserer Zeit.","Ulla & Martin Kaufmann Beide geboren in Hildesheim Lehre und Meisterprüfung Atelier in Hildesheim","",""
"68e12f9e8eb4306e8320b167","Tora Urup","Urup","tora-urup","Die Glasobjekte von Tora Urup, entstanden seit 2001, bestehen aus massiven, präzise geschliffenen, transparenten Glaskörpern, in die verschiedenfarbige opake Schichten eingebettet sind. Indem die dänische Designerin Farb- und Glasschichten von verschiedener Stärke miteinander kombiniert, schafft sie neue Raumwahrnehmungen. Durch die Konfrontation von geschliffenen und polierten Oberflächen mit vibrierenden Farbschichten entsteht die Illusion eines scheinbar unendlich fließenden Raums innerhalb eines physikalisch begrenzten Volumens. Seit der Gründung ihres Designstudios für Glas und Keramik arbeitet Tora Urup mit tschechischen und japanischen Kunsthandwerkern zusammen. Ihre Arbeiten wurden weltweit ausgestellt und sind in bedeutenden öffentlichen Sammlungen zu finden. ART AUREA AWARD Gewinner 2015","Assistenz im Keramik Studio Sugi, Tokoname, Japan Hochschule für angewandte Kunst, Kopenhagen Abschluss an der RCA, London (Keramik und Glas) Eigenes Designlabel","",""
"68e12f9e8eb4306e8320b161","Tomáš Hlavička","Hlavička","tom-hlavika","Ganz im Sinne seines Lehrers Pavel Hlava bevorzugt Tomáš Hlavička eine minimalistische Formgebung. Jedes Glasobjekt wird nach dem Prinzip einer Torte aufgebaut: Nach jeder Glasplatte legt Hlavička die sorgfältig geschnittenen Gold- oder Silberfolien auf. Anschließend werden sie im Ofen mittels Fusing zu einer homogenen Struktur vereint. Seit geraumer Zeit verlässt der gelernte Architekt das Design funktionaler Gegenstände und wendet sich verstärkt der Skulptur zu. Seine Arbeiten sind in wichtigen Glassammlungen in Europa und den USA vertreten.","Tomás Hlavicka Geboren in Prag Prager Architektur-Universität Zusammenarbeit mit Glaskünstler Pavel Hlava Umsetzung von Pavel Hlavas Studio Design Unabhängiger Glaskunst-Designer","",""
"68e12f9e8eb4306e8320b15f","Tomonari Hashimoto","Hashimoto","tomonari-hashimoto","","","",""
"68e12f9e8eb4306e8320b159","Thomas Pildner","Pildner","thomas-pildner","Seine Holzgefäße und Objekte drechselt Thomas Pildner aus frischem Holz. Um jeder Arbeit einen eigenen Charakter zu verleihen, integriert er bewusst Spalten, Risse und Bruchstellen als Gestaltungselemente. Durch den nachfolgenden Trocknungsprozess des Holzes verformen sich die Gefäße asymmetrisch und es entstehen einzigartige Gefäßkörper. „Dies ist gewollt, gleichwohl nie planbar“, erklärt Pildner. In jedem Objekt erzählt der Baum seine Geschichte, sein Wesen wird spürbar und lebt weiter. „Mein Werk ist vollendet, wenn es dem Baum die Ehre erweist und nicht nur als Behältnis wahrgenommen wird, sondern als Objekt, das für sich steht.“","Geboren in Bad Homburg v. d. Höhe BWL-Studium in Frankfurt mit Abschluss als Dipl.-Betriebswirt (FH) Auslandstätigkeit für die Deutsche Lufthansa, Kennenlernen eines alten Sikh-Drechslers Beginn intensiver Auseinandersetzung mit dem Werkstoff Holz Workshops Drechseln und erste Arbeiten als Autodidakt Eigene Werkstatt in Bad Homburg v. d. Höhe","",""
"68e12f9e8eb4306e8320b153","Thomas Bohle","Bohle","thomas-bohle","Keramiken von strengster Form, exakt und perfekt, elegant und wohlkomponiert. Die Glasur hingegen umspielt die Form, unterstreicht ihre Kanten und Kurven oder spiegelt in ihrer Oberfläche die Perfektion der geometrischen Formen wider. Die Wechselwirkung von Form und Glasur ist in den Arbeiten von Thomas Bohle Grundthema. Für den Betrachter ergibt sich daraus ein sinnliches Vergnügen. Nur zu gerne möchte man die Formen nicht nur betrachten, sondern ertasten. Auch bei der Arbeit mit dem Rohmaterial stehe die sinnliche Erfahrung im Vordergrund, erklärt Thomas Bohle. Zudem wisse man nie, was am Ende sein wird. Die haptische Qualität seiner Arbeiten fasziniert auch in anderen Teilen der Welt. Mit Ausstellungen in Ostasien und den USA zählt Bohle im Bereich der europäischen Gefäßkeramik zur Spitze Europas.","Geboren in Dornbirn Keramikerlehre, Mitarbeit in verschiedenen Werkstätten Studienreise nach Japan Bayrischer Staatspreis Neues Atelier in Dornbirn","",""
"68e12f9e8eb4306e8320b151","Therese Hilbert","Hilbert","therese-hilbert","","","",""
"68e12f9e8eb4306e8320b14b","Tapio Wirkkala","Wirkkala","tapio-wirkkala","Als einer der bekanntesten Designer, Innenarchitekten und Grafiker Skandinaviens widmete er sich nicht nur dem Material Glas, sondern auch Holz, Porzellan, Metall und sogar Kunststoff. Tapio Wirkkala entwarf für viele namhafte Manufakturen, so zum Beispiel Glas für Iittala und Porzellanserien für Rosenthal. Von ihm stammt eine Serie der finnischen Banknoten, die seit Mitte der 1950er Jahre im Umlauf war. Doch war Glas für Wirkkala der besondere Werkstoff. Die optischen Eigenschaften, vor allem die Brechung des Lichts faszinierten ihn. Bevor er mit Venini kooperierte, arbeitete er fast ausschließlich mit klarem Glas. Doch die Tradition der Glasbläser von Murano mit ihrer reichen Skala von Farben inspirierte ihn zu äußerst farbintensiven Werken. Serien wie Coreano oder auch Bolle, die erst 2012 in einer weiteren Farbpalette aufgelegt wurde, entstanden.","Geboren in Hanko, Finnland Zusammenarbeit mit der finnischen Glasmanufaktur Iittala Gestorben in Helsinki, Finnland","",""
"68e12f9e8eb4306e8320b145","Susanne Elstner","Elstner","susanne-elstner","Holzkohle aus Lärche, die sie selbst ‚köhlert‘, wurden zu einem Erkennungsmerkmal der skulpturalen Schmuckstücke von Susanne Elstner. Von Beginn an machte sie die Schönheit und Struktur der Jahresringe sichtbar. Inzwischen achtet sie auch auf die Wachstumsprozesse, auf das weiche, breite Frühholz und das Spätholz, das in einer feinen Linie endet und die Wachstumspause des Winters markiert. Gerne arbeitet Susanne Elstner in Werkgruppen, kombiniert ihre Holzkohle – sie färbt nach der Bearbeitung nicht mehr ab – mit Bernstein oder dezenten Goldstreifen, schafft filigrane Durchbrüche oder lässt aus Holzkohle gedrechselte Miniaturgefäße auf Silberfassungen schweben. Ihre humorvolle Seite offenbart die Künstlerin mit den Ringen „Crumble Kumpel“. Dafür standen zerdrückten Dosen mit geöffnetem Deckelmund Pate.","geboren in München Goldschmiedeausbildung, Berufsfachschule Kaufbeuren-Neugablonz Meisterprüfung in München Freischaffend, Atelier in Gräfelfing Ausbildung bei Erico Nagai, Giovanni Corvaja, Akademie für Gestaltung München","",""
"68e12f9e8eb4306e8320b13f","Susanna Kuschek","Kuschek","susanna-kuschek","Die Formfiguren im Halsschmuck 0039 und im Armband Punto von Susanna Kuschek sind einfach, geometrisch, ein Kreis, ein Oval. Durch leichte Verschiebungen wird das scheinbar Einfache komplex, nicht gleich nachvollziehbar, eine gebrochene Ordnung. Die Oberfläche mit ihrer organisch, haptischen Anmutung intensiviert die Lebendigkeit der Arbeiten. Die charakteristische Oberflächenstruktur entsteht durch die Ossa Sepia Gusstechnik. Sie wurde bereits in der Antike in der Schmuckgestaltung verwendet. Die Struktur der geschichteten Schale des Tintenfisches, die man an fast jedem Strand findet, hinterlässt ihre Spuren im Guss. Im zeitgenössischen Schmuck ist diese Technik nicht zuletzt Ausdruck einer Balance zwischen Natur und Kultur, zwischen Ordnung und Zufall. Susanna Kuschek liebt Zufälligkeiten, die keine sind.","Geboren in Berlin Goldschmiedelehre Freischaffend Studium der Freien Kunst, Bildhauerei an der Hochschule der Künste Berlin bei Prof. Lothar Baumgarten Meisterschüler, Atelier in Berlin","",""
"68e12f9a4313384af8f23824","Sung Chul Kim","Kim","sung-chul-kim","Die weißen Öllampen des Keramikers Sung Chul Kim sind das Resultat höchster Präzisionsarbeit. Bei der Serie Moon bilden Halbkugeln aus gedrehtem Porzellan den Ausgangspunkt. Sung Chul Kim lässt bewusst eine Hälfte größer und setzt die beiden Teile dann zu einem Oval zusammen. Erst nach dem Brand, wenn zwei Teile zu einem verschmolzen sind, entfernt er das überstehende Material mit einem Schmirgelpapier. Im beleuchteten Zustand verändern die Lampen des Koreaners ihr Antlitz. Statt der kühlen Eleganz strahlen sie nun eine anheimelnde Wärme aus. Die strengen Formen werden weich und fließend. Dank der reflektierenden Oberfläche des glasierten Porzellans vergrößert sich die Leuchtkraft der Flamme um ein Vielfaches. Die Verkaufspreise liegen zwischen 500 und 3.000 €.","Geboren in Pohang, Südkorea Bachelor-Studium, Kunsthandwerk und Design, Seoul National University, Korea Master-Studium, Kunsthandwerk und Design, Seoul National University, Korea","",""
"68e12f9a4313384af8f2381e","Stefanie Prießnitz","Prießnitz","stefanie-prienitz","Perlen sind der Dreh- und Angelpunkt in den Ketten von Stefanie Prießnitz. Mal fügen sie sich schlicht in eine Reihe, mal erscheinen sie dekorativ verspielt oder setzen Akzente im Dekolleté. Die anschmiegsamen Colliers können durch Armschmuck und Fingerring ergänzt werden. Die Materialwahl reicht von Gelbgold bis zum schlichten Silber. Auch Farbverläufe von Feingold bis zum hellen Gold oder Rosé sind möglich. Bei den Fadenringen wird die Idee des gewickelten Fadens auf Ringe übertragen. Mal wird gekonnt ein Diamant umgarnt oder ein Amethyst liegt eingebettet in einem raffiniert gewickelten Nest. Reizvoll ist es, wenn die Fadenringe in Gold 750 oder Silber 925 mit Ohrschmuck kombiniert werden. Der Blick aus einem Ballon auf die Schönheit der Welt inspirierte Prießnitz zu ihren Wolkenbroschen. Um die Strukturen der Landschaften zu erfassen, nutzte sie die Technik des Tuftings, wobei sie den textilen Faden wie einen Pinselstrich verwendet. So entstehen Bilder, die weit über die Farbvielfalt der Natur hinausgehen.","Geboren in Lauingen, Dillingen Ausbildung zur Goldschmiedin, Goldschmiedeschule, Pforzheim Studium an der Hochschule für Gestaltung, Pforzheim/ Rhode Island School of Design, Providence, USA Werkstattatelier in Pforzheim Aufnahme der ""Wolkenbroschen"" in die German Crafts Collection 2025 des Bundesverbands Kunsthandwerk","",""
"68e12f9a4313384af8f2381c","Stefania Luccetta","Luccetta","stefania_luchetta","","","",""
"68e12f9a4313384af8f2381a","Sophie Rowley","Rowley","sophie-rowley","","","",""
"68e12f9a4313384af8f23814","Sophia Epp","Epp","sophia-epp","Sophia Epp weiß, mit schlichter Geometrie und sensiblen Materialkombinationen ausdrucksstarke, ornamentale Wirkungen zu erzielen. Der Ohrschmuck Lilie aus geschwärztem Silber und Gold 900 entfaltet durch die sich überschneidenden Linien eine bewegte Dynamik. Stücke wie die Colliers Seifenblase oder Kreise überzeugen durch graphische Klarheit, die aber keineswegs auf spielerische Heiterkeit verzichten. „Mein Anliegen ist es“, sagt die mehrfach ausgezeichnete Silberschmiedin und Schmuckgestalterin, „Gesehenes, Erlebtes und Erspürtes in tragbaren, handwerklich erlesenen Schmuck zu verwandeln.“ Nach ihren Lehrjahren und Erfahrungen in der Zusammenarbeit mit bedeutenden Silber- und Goldschmieden, darunter Herman Jünger und Erico Nagai, widmet sich Sophia Epp heute ausschließlich ihrem Schmuck, der in namhaften internationalen Galerien vertreten ist.","Geboren in Marktoberdorf Gesellenprüfung im Silberschmiedehandwerk, anschließend freie Mitarbeit bei Christa Lühtje, Peter Verburg, Hermann Jünger Akademie für Gestaltung und Restaurierung im Handwerk, Schmuckgestaltung bei Erico Nagai, Meisterschule München Meisterprüfung als Silberschmiedin Atelier in Bernried, Starnberger See","",""
"68e12f9a4313384af8f2380e","Siebörger Handweberei, Anja Ritter","Ritter","siebrger-handweberei-anja-ritter","Mit sicherem Gespür für Farben, Strukturen und feine Nuancen fertigt Anja Ritter Schals und Tücher aus Leinen, Kaschmir, Seide oder feiner Wolle (Kammgarn) auf ihrem Handwebstuhl. Bei der Auswahl ihrer Garne orientiert sie sich an den Qualitäten und Spezialitäten der verschiedenen Herkunftsländer. Durch ständige, intuitive Variationen bleiben die Stücke auch innerhalb der Kollektionen der Siebörger Handweberei Einzelstücke. Schals und Tücher dienen als leichte, wärmende Hülle und können gleichzeitig als Schmuck getragen werden. Sie unterstreichen feierliche Momente und erheben den Alltag zu etwas Besonderem. Ein weiteres Thema sind Textilien für Architektur und Raumgestaltung sowie den Sakralbereich.","geboren in Kahl am Main Gesellenprüfung im Weberhandwerk freie Mitarbeit, Handweberei Mars Stoffe, Darmstadt Gründung der Handweberei Siebörger, Ober-Ramstadt Meisterin im Weberhandwerk Ausstellung Form, Tendence Frankfurt 3. Preis beim 13. Hessischen Gestaltungspreis","",""
"68e12f9a4313384af8f23808","Sian Design","Design","sian-design","Fasziniert von mathematischen Strukturen und minimalistischem Design kombinieren Antonia Frey-Vorhammer und Simon Vorhammer digitale und analoge Methoden für ihren Schmuck. Von der Natur inspiriert verbinden ihre Kollektionen aus 750er Gold unter dem Label Sian Design Einfachheit mit komplexer Geometrie. Grundformen und glatte Oberflächen verschmelzen nahtlos zu doppelt gekrümmten Oberflächen und Gitterstrukturen, die mit traditionellen Methoden nicht erreichbar sind. Jedes Stück wird zunächst in einem Wachspositiv mittels 3D-Druck aufgebaut. Daraus entsteht eine Negativform in Gips für den Guss in Edelmetall. Sorgfältig von Hand überarbeitet erhält jedes Stück schließlich eine lebendige Oberfläche. 2022 wurde der Cocktail Ring Emi in die Schmucksammlung des Museums für Angewandte Kunst in Köln (MAKK) aufgenommen und ist bis 24.8.25 in der Ausstellung Faszination Schmuck – 7000 Jahre Schmuckkunst im MAKK als Beispiel zeitgenössischer Schmuckkunst zu sehen.","Antonia Frey-Vorhammer Simon Vorhammer Beide geboren in München Studium der Architektur, TU München Diplom in Architektur Leben und Arbeiten in Sydney, Australien Gründung von Sian Design – Label für algorithmischen Goldschmuck Schmuck Award, Kategorie Innovativer Schmuck, 2. Platz und Leserpreis","",""
"68e12f9a4313384af8f23802","Si-Sook Kang","Kang","si-sook-kang","Grundvoraussetzung für gute zeitgenössische Keramik ist in den Augen von Si-Sook Kang die Balance zwischen Bewahren und Erneuern. Ein wichtiges Prinzip, das sich auch in ihren Arbeiten widerspiegelt. So stammt die von ihr verwendete Seladonglasur ursprünglich aus China. In ganz Asien war sie wegen ihrer an Jade erinnernde grünliche Farbe beliebt. Kang greift diese Tradition auf und kombiniert sie mit geschwungenen, organischen Formen. Wobei ihre Glasur die betörende Frische eines strahlenden Eisblaus in feinsten Nuancen variiert. Dadurch erscheinen ihre Porzellanobjekte in einer unvergleichlichen Weichheit und Sinnlichkeit der Form. Wie ihr Mann Kap-Sun Hwang arbeitet auch Si-Sook Kang mit Porzellanmasse von höchster Qualität.","Geboren in Seoul, Südkorea National Universität Seoul, Studium Industriedesign Muthesius Kunsthochschule in Kiel, Freie Kunst (Keramik) Freischaffende Keramikerin Gemeinsames Atelier mit Kap-Sun Hwang in Kellinghusen","",""
"68e12f9a4313384af8f23800","Shozo Michikawa","Michikawa","shozo-michikawa","","","",""
"68e12f9a4313384af8f237fe","Shinichi Sawada","Sawada","shinichi-sawada","","","",""
"68e12f9a4313384af8f237f8","Sebastian Hepp","Hepp","sebastian-hepp","Ganz bewusst nutzt Sebastian Hepp die beim Schmieden entstehende schöne Zunder- und Narbenbildung des Stahls, um lebendige Oberflächen zu erzeugen. Die sichtbaren Hammerschläge, die in der kurzen Glühphase den Werkstoff fließend verformen, erinnern bildhaft an die eingebrachte Energie und den dynamischen Arbeitsprozess. So erhält jedes Objekt eine eigenständige, nie ganz reproduzierbare Aura. Einzigartig ist auch das hohe Reflexionsvermögen der eingearbeiteten linearen Oberflächenstrukturen. Die dadurch geschaffene kontrastreiche Tiefenwirkung des ursprünglich matten Stahls wird durch den Winkel und die Intensität des Lichteinfalls maßgeblich bestimmt. So ergibt sich ein reizvolles Spannungsverhältnis zwischen den geometrischen Formen, der Schwere des geschmiedeten Werkstoffs und der Komplexität der fein strukturierten, anmutigen Oberflächen.","Geboren in Garmisch-Partenkirchen Ausbildung zum Kunstschmied, Gauting Meisterschule für Schmiede, München Freischaffend als Metallgestalter tätig","",""
